"顺序","一级维度编号","一级维度名称","维度ID","维度编号","维度名称","核心含义","定义","启用状态","审核状态","审核备注"
"1","general_ability","通用能力","competency-a1-01","A1-01","逻辑思维","逻辑分析严谨，推理判断有据","运用归纳、演绎等逻辑方法分析问题，能对信息进行分类整合和概念辨析，推理过程条理清晰、环环相扣，能构建有充分依据的判断和结论。","enabled","pending_review",""
"2","general_ability","通用能力","competency-a1-02","A1-02","数字应用","善用数字化工具与AI技术，具备数据思维","熟练运用各类数字化工具和AI技术处理工作事务，具备数据思维与人机协作意识，能够借助新技术手段提升工作效率和决策质量。","enabled","pending_review",""
"3","general_ability","通用能力","competency-a1-03","A1-03","计划执行","高效推进计划并达成预期结果","接到任务后迅速响应、立即行动，紧盯时间节点，在保证质量的前提下追求效率，确保按时交付成果。","enabled","pending_review",""
"4","general_ability","通用能力","competency-a1-04","A1-04","持续学习","主动学习，多渠道获取知识并学以致用","保持学习新知识、新技能的意愿，善于通过观察、请教和实践等多种途径获取知识，并将所学有效运用到实际工作中。","enabled","pending_review",""
"5","general_ability","通用能力","competency-a1-05","A1-05","沟通表达","清晰传递信息，重视倾听与反馈","用准确恰当的语言传递信息，表达观点时条理清晰、重点突出，同时重视倾听与反馈，保证信息传达到位、理解准确。","enabled","pending_review",""
"6","psychological_quality","心理素养","competency-b1-01","B1-01","敬业奉献","视工作为使命，全心投入，甘于奉献","将工作视为使命，以高度的责任感和奉献精神对待岗位职责，不计较分内分外，愿意为团队和组织目标付出额外努力。","enabled","pending_review",""
"7","psychological_quality","心理素养","competency-b1-02","B1-02","求真务实","追求真理，尊重事实，注重实效","坚持追求事物的客观真相，尊重事实和数据，注重实际效果，以解决问题为根本导向，反对形式主义和空谈。","enabled","pending_review",""
"8","psychological_quality","心理素养","competency-b1-03","B1-03","自律性","自我约束，规划在先，言行一致","能够自我约束、严格要求自己，做事有事先的规划和控制，有清晰的个人标准并以此规范行为，即使在无人监督时也能坚持按计划行事。","enabled","pending_review",""
"9","psychological_quality","心理素养","competency-b1-04","B1-04","成就导向","追求工作成功，不断挑战更高目标","有强烈的追求工作成功的愿望，不断设定挑战性的目标挑战自我，关注自身职业生涯的发展，追求事业的成功和卓越。","enabled","pending_review",""
"10","psychological_quality","心理素养","competency-b1-05","B1-05","合作意识","主动协作，乐于分享，促成共赢","能主动配合他人开展工作，乐于分享信息和资源，妥善处理分歧，及时补位，与团队成员共同推动目标实现。","enabled","pending_review",""
