"顺序","来源行","题目编号","题目类型","一级维度编号","一级维度名称","维度ID","维度编号","维度名称","维度内题号","题目内容","考察点","计分方向","启用状态","审核状态","审核备注"
"1","4","A1-01-Q01","dimension","general_ability","通用能力","competency-a1-01","A1-01","逻辑思维","1","面对复杂事项，我习惯将其拆解为若干独立部分分别处理。","分解能力","forward","enabled","pending_review",""
"2","5","A1-01-Q02","dimension","general_ability","通用能力","competency-a1-01","A1-01","逻辑思维","2","出现偏差时，我会追溯整个流程以定位根本原因。","归因分析","forward","enabled","pending_review",""
"3","6","A1-01-Q03","dimension","general_ability","通用能力","competency-a1-01","A1-01","逻辑思维","3","我能清晰区分他人表述中的客观事实与主观判断。","事实与观点分离","forward","enabled","pending_review",""
"4","7","A1-01-Q04","dimension","general_ability","通用能力","competency-a1-01","A1-01","逻辑思维","4","安排工作顺序时，我能注重先后环节之间的内在逻辑。","顺序合理性","forward","enabled","pending_review",""
"5","8","A1-01-Q05","dimension","general_ability","通用能力","competency-a1-01","A1-01","逻辑思维","5","面对不同信息源，我会比较其可靠性后再采用。","信息甄别","forward","enabled","pending_review",""
"6","9","A1-01-Q06","dimension","general_ability","通用能力","competency-a1-01","A1-01","逻辑思维","6","做决定前，我会推演不同选择可能引发的后续变化。","因果预判","forward","enabled","pending_review",""
"7","10","A1-01-Q07","dimension","general_ability","通用能力","competency-a1-01","A1-01","逻辑思维","7","总结汇报时，我习惯按时间线罗列事件。","归纳提炼","reverse","enabled","pending_review",""
"8","11","A1-01-Q08","dimension","general_ability","通用能力","competency-a1-01","A1-01","逻辑思维","8","我通常凭感觉就可以判断事件的问题所在。","结构化验证","reverse","enabled","pending_review",""
"9","12","A1-02-Q01","dimension","general_ability","通用能力","competency-a1-02","A1-02","数字应用","1","我已经可以熟练使用多种AI工具辅助完成工作。","AI工具运用","forward","enabled","pending_review",""
"10","13","A1-02-Q02","dimension","general_ability","通用能力","competency-a1-02","A1-02","数字应用","2","使用工具生成结果前，我会核实其底层逻辑的准确性。","工具验证","forward","enabled","pending_review",""
"11","14","A1-02-Q03","dimension","general_ability","通用能力","competency-a1-02","A1-02","数字应用","3","我习惯于用电子方式存储和整理工作记录，便于检索。","数字记录","forward","enabled","pending_review",""
"12","15","A1-02-Q04","dimension","general_ability","通用能力","competency-a1-02","A1-02","数字应用","4","遇到不熟悉的数字工具或软件时，我能通过查阅帮助文档或在线资源自行解决。","自主排错","forward","enabled","pending_review",""
"13","16","A1-02-Q05","dimension","general_ability","通用能力","competency-a1-02","A1-02","数字应用","5","我经常使用图表和分析工具让数据变得更直观易懂。","图表展示","forward","enabled","pending_review",""
"14","17","A1-02-Q06","dimension","general_ability","通用能力","competency-a1-02","A1-02","数字应用","6","我已经可以从海量数据中挖掘出有价值的信息。","数据挖掘","forward","enabled","pending_review",""
"15","18","A1-02-Q07","dimension","general_ability","通用能力","competency-a1-02","A1-02","数字应用","7","工作中AI辅助工具多种多样，我目前使用的还比较少。","工具偏好","reverse","enabled","pending_review",""
"16","19","A1-02-Q08","dimension","general_ability","通用能力","competency-a1-02","A1-02","数字应用","8","面对复杂的数据表格，我往往感到难以应对。","数据态度","reverse","enabled","pending_review",""
"17","20","A1-03-Q01","dimension","general_ability","通用能力","competency-a1-03","A1-03","计划执行","1","我从来不做没有计划的事情。","规划意识","forward","enabled","pending_review",""
"18","21","A1-03-Q02","dimension","general_ability","通用能力","competency-a1-03","A1-03","计划执行","2","一般情况下，我不允许工作计划出现任何偏差，必须按计划执行。","执行标准","forward","enabled","pending_review",""
"19","22","A1-03-Q03","dimension","general_ability","通用能力","competency-a1-03","A1-03","计划执行","3","我会将各项工作任务按照优先级和预计时长安排到每日计划中。","计划制定","forward","enabled","pending_review",""
