"内容类型","匹配键","等级编号","内容","来源文件","审核状态","审核备注"
"template","cover_title","fixed","胜任力测评报告","胜任力测评报告样例.docx","pending_review",""
"template","cover_english","fixed","Competency Assessment Report","胜任力测评报告样例.docx","pending_review",""
"template","cover_slogan","fixed","洞悉深层素质 ● 驱动精准发展","胜任力测评报告样例.docx","pending_review",""
"template","reading_background","fixed","在组织人才竞争日益激烈的当下，科学评估员工的岗位胜任力水平已成为企业人力资源管理的关键环节。无数研究与实践证明，员工绩效差异往往并非仅由知识储备与基础技能的高低所决定，而是更多源于更深层的素质——包括能力倾向、价值取向、心理动力，这些深层特征构成了区分绩优者与一般者的员工胜任力，是本测评关注的焦点。","胜任力测评报告样例.docx","pending_review",""
"template","reading_dimensions","fixed","本测评以麦克利兰（McClelland）的冰山模型与博亚特兹（Boyatzis）的洋葱模型为理论基础，聚焦鉴别性素质的评估，从通用能力、心理素养两个方面共计10个维度对员工进行系统考察，旨在全面评估影响工作表现的关键因素。其中，通用能力包括逻辑思维、数字应用、计划执行、持续学习、沟通表达5个子维度，心理素养包括敬业奉献、求真务实、自律性、成就导向和合作意识5个子维度。","胜任力测评报告样例.docx","pending_review",""
"template","reading_usage","fixed","本测评能够有效鉴别员工的能力短板与发展优势，可以应用于组织的招聘、选拔、在岗评估、培训发展与人才盘点等，为组织客观量化人才评价与个性化人才培养提供数据支撑，辅助实现人岗匹配与人才发展战略的制定与落地。","胜任力测评报告样例.docx","pending_review",""
"template","special_notice","fixed","科学测评的原则是多质多法，即对每个素质的评价采用多种测试手段，本测评作为一种测试手段，虽证明有效，其结果基于受测者自陈反应结果，受其测评状态、自我认知偏差等影响，不能作为精准判断个体岗位胜任力的唯一依据。更精准的测试建议根据实际情况，结合其他测试结果，如面试、绩效表现、情景模拟、360评估等进行综合判断。","胜任力测评报告样例.docx","pending_review",""
"group","general_ability","description","“通用能力”由逻辑思维、数字应用、计划执行、持续学习、沟通表达五个子维度构成，其得分是这五个子维度的综合得分，反映了受测者作为职业人的通用能力综合情况。","胜任力测评报告样例.docx","pending_review",""
"group","psychological_quality","description","“心理素养”由敬业奉献、求真务实、自律性、成就导向、合作意识五个子维度构成，其得分是这五个子维度的综合得分，反映了受测者心理状态的综合情况。","胜任力测评报告样例.docx","pending_review",""
"validity","","good","本次测评作答效度良好，结果具有较好的参考价值。测评结果仍应结合实际工作表现、行为观察、访谈及其他评价信息进行综合解读，不宜作为人才决策的唯一依据。","AI建议稿-待客户确认","pending_review","AI建议稿，待客户及心理测量负责人确认或修改"
"validity","","questionable","该受测者存在掩饰真实想法的可能性，本次测评结果请谨慎解读，必要时可重新开展评估。","胜任力测评报告样例.docx","pending_review","来源为Word样例，正式导入前需确认"
